vtx-B03-n5-n3-n1	Δ = -5	bi.bi = -3	b0.bi = -1	hypers = 2 x (irr-B3-8)
vtx-B03-18-n2-0	Δ = 18	bi.bi = -2	b0.bi = 0	hypers = 1 x (irr-B3-7) + 4 x (irr-B3-8)
vtx-B03-41-n1-1	Δ = 41	bi.bi = -1	b0.bi = 1	hypers = 2 x (irr-B3-7) + 6 x (irr-B3-8)
vtx-B03-64-0-2	Δ = 64	bi.bi = 0	b0.bi = 2	hypers = 3 x (irr-B3-7) + 8 x (irr-B3-8)
vtx-B03-87-1-3	Δ = 87	bi.bi = 1	b0.bi = 3	hypers = 4 x (irr-B3-7) + 10 x (irr-B3-8)
vtx-B03-110-2-4	Δ = 110	bi.bi = 2	b0.bi = 4	hypers = 5 x (irr-B3-7) + 12 x (irr-B3-8)
vtx-B03-133-3-5	Δ = 133	bi.bi = 3	b0.bi = 5	hypers = 6 x (irr-B3-7) + 14 x (irr-B3-8)
vtx-B03-156-4-6	Δ = 156	bi.bi = 4	b0.bi = 6	hypers = 7 x (irr-B3-7) + 16 x (irr-B3-8)
vtx-B03-179-5-7	Δ = 179	bi.bi = 5	b0.bi = 7	hypers = 8 x (irr-B3-7) + 18 x (irr-B3-8)
vtx-B03-184-8-8	Δ = 184	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-202-6-8	Δ = 202	bi.bi = 6	b0.bi = 8	hypers = 9 x (irr-B3-7) + 20 x (irr-B3-8)
vtx-B03-207-9-9	Δ = 207	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-B3-7) + 18 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-212-12-10	Δ = 212	bi.bi = 12	b0.bi = 10	hypers = 9 x (irr-B3-7) + 16 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-217-15-11	Δ = 217	bi.bi = 15	b0.bi = 11	hypers = 9 x (irr-B3-7) + 14 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-222-18-12	Δ = 222	bi.bi = 18	b0.bi = 12	hypers = 9 x (irr-B3-7) + 12 x (irr-B3-8) + 4 x (irr-B3-21)
vtx-B03-224-15-11	Δ = 224	bi.bi = 15	b0.bi = 11	hypers = 14 x (irr-B3-7) + 14 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-224-32-16	Δ = 224	bi.bi = 32	b0.bi = 16	hypers = 8 x (irr-B3-7) + 9 x (irr-B3-21)
vtx-B03-225-7-9	Δ = 225	bi.bi = 7	b0.bi = 9	hypers = 10 x (irr-B3-7) + 22 x (irr-B3-8)
vtx-B03-227-21-13	Δ = 227	bi.bi = 21	b0.bi = 13	hypers = 9 x (irr-B3-7) + 10 x (irr-B3-8) + 5 x (irr-B3-21)
vtx-B03-229-18-12	Δ = 229	bi.bi = 18	b0.bi = 12	hypers = 14 x (irr-B3-7) + 12 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-229-50-20	Δ = 229	bi.bi = 50	b0.bi = 20	hypers = 2 x (irr-B3-7) + 5 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-229-55-21	Δ = 229	bi.bi = 55	b0.bi = 21	hypers = 5 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-231-32-16	Δ = 231	bi.bi = 32	b0.bi = 16	hypers = 13 x (irr-B3-7) + 6 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-232-24-14	Δ = 232	bi.bi = 24	b0.bi = 14	hypers = 9 x (irr-B3-7) + 8 x (irr-B3-8) + 6 x (irr-B3-21)
vtx-B03-232-40-18	Δ = 232	bi.bi = 40	b0.bi = 18	hypers = 3 x (irr-B3-7) + 2 x (irr-B3-8) + 8 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-232-45-19	Δ = 232	bi.bi = 45	b0.bi = 19	hypers = 1 x (irr-B3-7) + 2 x (irr-B3-8) + 8 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-234-21-13	Δ = 234	bi.bi = 21	b0.bi = 13	hypers = 14 x (irr-B3-7) + 10 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-236-50-20	Δ = 236	bi.bi = 50	b0.bi = 20	hypers = 7 x (irr-B3-7) + 2 x (irr-B3-21) + 2 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-236-55-21	Δ = 236	bi.bi = 55	b0.bi = 21	hypers = 5 x (irr-B3-7) + 2 x (irr-B3-21) + 1 x (irr-B3-27) + 3 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-236-60-22	Δ = 236	bi.bi = 60	b0.bi = 22	hypers = 3 x (irr-B3-7) + 2 x (irr-B3-21) + 2 x (irr-B3-27) + 4 x (irr-B3-35)
vtx-B03-237-27-15	Δ = 237	bi.bi = 27	b0.bi = 15	hypers = 9 x (irr-B3-7) + 6 x (irr-B3-8) + 7 x (irr-B3-21)
vtx-B03-237-48-20	Δ = 237	bi.bi = 48	b0.bi = 20	hypers = 1 x (irr-B3-7) + 9 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-238-18-12	Δ = 238	bi.bi = 18	b0.bi = 12	hypers = 5 x (irr-B3-7) + 22 x (irr-B3-8) + 1 x (irr-B3-48)
