vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-243-50-20	Δ = 243	bi.bi = 50	b0.bi = 20	hypers = 5 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-244-18-12-a	Δ = 244	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-D4-8a) + 21 x (irr-D4-8b) + 1 x (irr-D4-56b)
vtx-D04-244-18-12-b	Δ = 244	bi.bi = 18	b0.bi = 12	hypers = 15 x (irr-D4-8a) + 12 x (irr-D4-8b) + 1 x (irr-D4-56a)
vtx-D04-244-30-16	Δ = 244	bi.bi = 30	b0.bi = 16	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 8 x (irr-D4-28)
vtx-D04-244-40-18	Δ = 244	bi.bi = 40	b0.bi = 18	hypers = 5 x (irr-D4-8a) + 1 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-244-45-19	Δ = 244	bi.bi = 45	b0.bi = 19	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-245-48-20	Δ = 245	bi.bi = 48	b0.bi = 20	hypers = 6 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-246-48-20	Δ = 246	bi.bi = 48	b0.bi = 20	hypers = 1 x (irr-D4-8a) + 5 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-247-21-13	Δ = 247	bi.bi = 21	b0.bi = 13	hypers = 13 x (irr-D4-8a) + 10 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-247-48-20-a	Δ = 247	bi.bi = 48	b0.bi = 20	hypers = 2 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-247-48-20-b	Δ = 247	bi.bi = 48	b0.bi = 20	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a)
vtx-D04-248-16-12	Δ = 248	bi.bi = 16	b0.bi = 12	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-248-21-13-a	Δ = 248	bi.bi = 21	b0.bi = 13	hypers = 14 x (irr-D4-8a) + 10 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-248-21-13-b	Δ = 248	bi.bi = 21	b0.bi = 13	hypers = 5 x (irr-D4-8a) + 19 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-248-48-20	Δ = 248	bi.bi = 48	b0.bi = 20	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-251-24-14	Δ = 251	bi.bi = 24	b0.bi = 14	hypers = 12 x (irr-D4-8a) + 8 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-252-24-14-a	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 4 x (irr-D4-8a) + 17 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-252-24-14-b	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 13 x (irr-D4-8a) + 8 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-252-36-18	Δ = 252	bi.bi = 36	b0.bi = 18	hypers = 10 x (irr-D4-28)
vtx-D04-254-32-16-a	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 16 x (irr-D4-8a) + 3 x (irr-D4-28) + 2 x (irr-D4-35b)
vtx-D04-254-32-16-b	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 16 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
