vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-279-33-17-a	Δ = 279	bi.bi = 33	b0.bi = 17	hypers = 9 x (irr-D4-8a) + 11 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-279-33-17-b	Δ = 279	bi.bi = 33	b0.bi = 17	hypers = 18 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-279-33-17-c	Δ = 279	bi.bi = 33	b0.bi = 17	hypers = 2 x (irr-D4-8a) + 18 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-280-33-17-a	Δ = 280	bi.bi = 33	b0.bi = 17	hypers = 1 x (irr-D4-8a) + 20 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-56b)
vtx-D04-280-33-17-b	Δ = 280	bi.bi = 33	b0.bi = 17	hypers = 19 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-56a)
vtx-D04-280-33-17-c	Δ = 280	bi.bi = 33	b0.bi = 17	hypers = 10 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-282-36-18-a	Δ = 282	bi.bi = 36	b0.bi = 18	hypers = 16 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-282-36-18-b	Δ = 282	bi.bi = 36	b0.bi = 18	hypers = 16 x (irr-D4-8a) + 4 x (irr-D4-28) + 2 x (irr-D4-35b)
vtx-D04-283-36-18-a	Δ = 283	bi.bi = 36	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 9 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-283-36-18-b	Δ = 283	bi.bi = 36	b0.bi = 18	hypers = 1 x (irr-D4-8a) + 16 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-283-36-18-c	Δ = 283	bi.bi = 36	b0.bi = 18	hypers = 17 x (irr-D4-8a) + 3 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-284-9-11	Δ = 284	bi.bi = 9	b0.bi = 11	hypers = 13 x (irr-D4-8a) + 26 x (irr-D4-8b)
vtx-D04-284-36-18-a	Δ = 284	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-D4-8a) + 2 x (irr-D4-28) + 2 x (irr-D4-56a)
vtx-D04-284-36-18-b	Δ = 284	bi.bi = 36	b0.bi = 18	hypers = 9 x (irr-D4-8a) + 9 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-284-36-18-c	Δ = 284	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-56b)
vtx-D04-287-80-28	Δ = 287	bi.bi = 80	b0.bi = 28	hypers = 3 x (irr-D4-35a) + 6 x (irr-D4-35b)
vtx-D04-291-20-14-a	Δ = 291	bi.bi = 20	b0.bi = 14	hypers = 32 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a)
vtx-D04-291-20-14-b	Δ = 291	bi.bi = 20	b0.bi = 14	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-292-20-14-a	Δ = 292	bi.bi = 20	b0.bi = 14	hypers = 8 x (irr-D4-8a) + 25 x (irr-D4-8b) + 1 x (irr-D4-56b)
vtx-D04-292-20-14-b	Δ = 292	bi.bi = 20	b0.bi = 14	hypers = 17 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-56a)
vtx-D04-293-33-17-a	Δ = 293	bi.bi = 33	b0.bi = 17	hypers = 25 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-35b)
vtx-D04-293-33-17-b	Δ = 293	bi.bi = 33	b0.bi = 17	hypers = 9 x (irr-D4-8a) + 18 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-295-45-21	Δ = 295	bi.bi = 45	b0.bi = 21	hypers = 5 x (irr-D4-8a) + 3 x (irr-D4-8b) + 6 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-296-45-21	Δ = 296	bi.bi = 45	b0.bi = 21	hypers = 6 x (irr-D4-8a) + 3 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-297-36-18-a	Δ = 297	bi.bi = 36	b0.bi = 18	hypers = 24 x (irr-D4-8a) + 1 x (irr-D4-28) + 3 x (irr-D4-35b)
vtx-D04-297-36-18-b	Δ = 297	bi.bi = 36	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-298-36-18-a	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 25 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-298-36-18-b	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 9 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-298-36-18-c	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 25 x (irr-D4-8a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-298-36-18-d	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 16 x (irr-D4-8a) + 9 x (irr-D4-8b) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-303-39-19-b	Δ = 303	bi.bi = 39	b0.bi = 19	hypers = 23 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-303-39-19-c	Δ = 303	bi.bi = 39	b0.bi = 19	hypers = 16 x (irr-D4-8a) + 7 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-303-39-19-d	Δ = 303	bi.bi = 39	b0.bi = 19	hypers = 7 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-304-24-16	Δ = 304	bi.bi = 24	b0.bi = 16	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 5 x (irr-D4-28)
vtx-D04-307-42-20-c	Δ = 307	bi.bi = 42	b0.bi = 20	hypers = 8 x (irr-D4-8a) + 12 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a)
vtx-D04-308-10-12	Δ = 308	bi.bi = 10	b0.bi = 12	hypers = 14 x (irr-D4-8a) + 28 x (irr-D4-8b)
vtx-D04-308-42-20-a	Δ = 308	bi.bi = 42	b0.bi = 20	hypers = 16 x (irr-D4-8a) + 5 x (irr-D4-8b) + 2 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-309-45-21	Δ = 309	bi.bi = 45	b0.bi = 21	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-319-24-16-a	Δ = 319	bi.bi = 24	b0.bi = 16	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-319-24-16-b	Δ = 319	bi.bi = 24	b0.bi = 16	hypers = 32 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a)
vtx-D04-320-24-16-a	Δ = 320	bi.bi = 24	b0.bi = 16	hypers = 8 x (irr-D4-8a) + 25 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-320-24-16-b	Δ = 320	bi.bi = 24	b0.bi = 16	hypers = 17 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-321-54-24	Δ = 321	bi.bi = 54	b0.bi = 24	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 7 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-322-54-24	Δ = 322	bi.bi = 54	b0.bi = 24	hypers = 3 x (irr-D4-8a) + 4 x (irr-D4-8b) + 6 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-322-216-48	Δ = 322	bi.bi = 216	b0.bi = 48	hypers = 1 x (irr-D4-350)
vtx-D04-332-11-13	Δ = 332	bi.bi = 11	b0.bi = 13	hypers = 15 x (irr-D4-8a) + 30 x (irr-D4-8b)
vtx-D04-332-28-18	Δ = 332	bi.bi = 28	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 6 x (irr-D4-28)
vtx-D04-333-120-32	Δ = 333	bi.bi = 120	b0.bi = 32	hypers = 16 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-35a) + 1 x (irr-D4-112b)
vtx-D04-336-63-27	Δ = 336	bi.bi = 63	b0.bi = 27	hypers = 7 x (irr-D4-28) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-347-28-18-a	Δ = 347	bi.bi = 28	b0.bi = 18	hypers = 32 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a)
vtx-D04-347-28-18-b	Δ = 347	bi.bi = 28	b0.bi = 18	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-348-28-18-a	Δ = 348	bi.bi = 28	b0.bi = 18	hypers = 17 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-348-28-18-b	Δ = 348	bi.bi = 28	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 25 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-356-12-14	Δ = 356	bi.bi = 12	b0.bi = 14	hypers = 16 x (irr-D4-8a) + 32 x (irr-D4-8b)
vtx-D04-359-60-26-a	Δ = 359	bi.bi = 60	b0.bi = 26	hypers = 16 x (irr-D4-8a) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 4 x (irr-D4-35b)
vtx-D04-359-60-26-b	Δ = 359	bi.bi = 60	b0.bi = 26	hypers = 16 x (irr-D4-8b) + 3 x (irr-D4-28) + 2 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-360-32-20	Δ = 360	bi.bi = 32	b0.bi = 20	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 7 x (irr-D4-28)
vtx-D04-360-60-26-a	Δ = 360	bi.bi = 60	b0.bi = 26	hypers = 17 x (irr-D4-8a) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-360-60-26-b	Δ = 360	bi.bi = 60	b0.bi = 26	hypers = 1 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-361-60-26-a	Δ = 361	bi.bi = 60	b0.bi = 26	hypers = 2 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-35a) + 1 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-361-60-26-b	Δ = 361	bi.bi = 60	b0.bi = 26	hypers = 18 x (irr-D4-8a) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-361-60-26-d	Δ = 361	bi.bi = 60	b0.bi = 26	hypers = 18 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-361-60-26-e	Δ = 361	bi.bi = 60	b0.bi = 26	hypers = 16 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 3 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-362-28-18-a	Δ = 362	bi.bi = 28	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 32 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-362-28-18-b	Δ = 362	bi.bi = 28	b0.bi = 18	hypers = 24 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-35b)
vtx-D04-362-45-23-a	Δ = 362	bi.bi = 45	b0.bi = 23	hypers = 17 x (irr-D4-8a) + 2 x (irr-D4-8b) + 6 x (irr-D4-28) + 2 x (irr-D4-35b)
vtx-D04-362-45-23-b	Δ = 362	bi.bi = 45	b0.bi = 23	hypers = 1 x (irr-D4-8a) + 18 x (irr-D4-8b) + 6 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-362-60-26-a	Δ = 362	bi.bi = 60	b0.bi = 26	hypers = 17 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-362-60-26-b	Δ = 362	bi.bi = 60	b0.bi = 26	hypers = 19 x (irr-D4-8a) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 3 x (irr-D4-56a)
vtx-D04-362-60-26-c	Δ = 362	bi.bi = 60	b0.bi = 26	hypers = 1 x (irr-D4-8a) + 18 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-362-60-26-f	Δ = 362	bi.bi = 60	b0.bi = 26	hypers = 3 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-35a) + 3 x (irr-D4-56a)
vtx-D04-363-45-23-b	Δ = 363	bi.bi = 45	b0.bi = 23	hypers = 2 x (irr-D4-8a) + 18 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-363-45-23-c	Δ = 363	bi.bi = 45	b0.bi = 23	hypers = 18 x (irr-D4-8a) + 2 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-364-45-23-a	Δ = 364	bi.bi = 45	b0.bi = 23	hypers = 19 x (irr-D4-8a) + 2 x (irr-D4-8b) + 4 x (irr-D4-28) + 2 x (irr-D4-56a)
vtx-D04-364-45-23-c	Δ = 364	bi.bi = 45	b0.bi = 23	hypers = 1 x (irr-D4-8a) + 20 x (irr-D4-8b) + 4 x (irr-D4-28) + 2 x (irr-D4-56b)
vtx-D04-374-60-26-a	Δ = 374	bi.bi = 60	b0.bi = 26	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-35a) + 4 x (irr-D4-35b)
vtx-D04-374-60-26-b	Δ = 374	bi.bi = 60	b0.bi = 26	hypers = 24 x (irr-D4-8a) + 1 x (irr-D4-35a) + 5 x (irr-D4-35b)
vtx-D04-375-32-20-a	Δ = 375	bi.bi = 32	b0.bi = 20	hypers = 32 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35a)
vtx-D04-375-32-20-b	Δ = 375	bi.bi = 32	b0.bi = 20	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-376-32-20-a	Δ = 376	bi.bi = 32	b0.bi = 20	hypers = 17 x (irr-D4-8a) + 16 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-376-32-20-b	Δ = 376	bi.bi = 32	b0.bi = 20	hypers = 8 x (irr-D4-8a) + 25 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-376-72-30	Δ = 376	bi.bi = 72	b0.bi = 30	hypers = 4 x (irr-D4-8a) + 1 x (irr-D4-8b) + 6 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-377-72-30	Δ = 377	bi.bi = 72	b0.bi = 30	hypers = 5 x (irr-D4-8a) + 1 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-380-13-15	Δ = 380	bi.bi = 13	b0.bi = 15	hypers = 17 x (irr-D4-8a) + 34 x (irr-D4-8b)
vtx-D04-380-45-23-a	Δ = 380	bi.bi = 45	b0.bi = 23	hypers = 1 x (irr-D4-8a) + 29 x (irr-D4-8b) + 3 x (irr-D4-56b)
vtx-D04-383-21-17-a	Δ = 383	bi.bi = 21	b0.bi = 17	hypers = 21 x (irr-D4-8a) + 26 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-383-21-17-b	Δ = 383	bi.bi = 21	b0.bi = 17	hypers = 5 x (irr-D4-8a) + 42 x (irr-D4-8b) + 1 x (irr-D4-35a)
vtx-D04-388-36-22	Δ = 388	bi.bi = 36	b0.bi = 22	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 8 x (irr-D4-28)
vtx-D04-390-32-20-a	Δ = 390	bi.bi = 32	b0.bi = 20	hypers = 24 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-35b)
vtx-D04-390-32-20-b	Δ = 390	bi.bi = 32	b0.bi = 20	hypers = 8 x (irr-D4-8a) + 32 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-391-32-20-a	Δ = 391	bi.bi = 32	b0.bi = 20	hypers = 16 x (irr-D4-8a) + 25 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-391-32-20-b	Δ = 391	bi.bi = 32	b0.bi = 20	hypers = 9 x (irr-D4-8a) + 32 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-391-32-20-c	Δ = 391	bi.bi = 32	b0.bi = 20	hypers = 41 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-56b)
vtx-D04-391-32-20-d	Δ = 391	bi.bi = 32	b0.bi = 20	hypers = 25 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-392-45-23-a	Δ = 392	bi.bi = 45	b0.bi = 23	hypers = 33 x (irr-D4-8a) + 2 x (irr-D4-8b) + 4 x (irr-D4-35b)
vtx-D04-392-45-23-c	Δ = 392	bi.bi = 45	b0.bi = 23	hypers = 1 x (irr-D4-8a) + 34 x (irr-D4-8b) + 2 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-404-14-16	Δ = 404	bi.bi = 14	b0.bi = 16	hypers = 18 x (irr-D4-8a) + 36 x (irr-D4-8b)
vtx-D04-418-36-22-a	Δ = 418	bi.bi = 36	b0.bi = 22	hypers = 8 x (irr-D4-8a) + 32 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-419-36-22-a	Δ = 419	bi.bi = 36	b0.bi = 22	hypers = 9 x (irr-D4-8a) + 32 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-419-36-22-c	Δ = 419	bi.bi = 36	b0.bi = 22	hypers = 41 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56b)
vtx-D04-420-36-22-c	Δ = 420	bi.bi = 36	b0.bi = 22	hypers = 8 x (irr-D4-8a) + 34 x (irr-D4-8b) + 2 x (irr-D4-56b)
vtx-D04-428-15-17	Δ = 428	bi.bi = 15	b0.bi = 17	hypers = 19 x (irr-D4-8a) + 38 x (irr-D4-8b)
vtx-D04-444-27-21	Δ = 444	bi.bi = 27	b0.bi = 21	hypers = 15 x (irr-D4-8a) + 30 x (irr-D4-8b) + 4 x (irr-D4-28)
vtx-D04-452-16-18	Δ = 452	bi.bi = 16	b0.bi = 18	hypers = 20 x (irr-D4-8a) + 40 x (irr-D4-8b)
vtx-D04-459-27-21-a	Δ = 459	bi.bi = 27	b0.bi = 21	hypers = 7 x (irr-D4-8a) + 46 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a)
vtx-D04-459-27-21-b	Δ = 459	bi.bi = 27	b0.bi = 21	hypers = 23 x (irr-D4-8a) + 30 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-460-27-21-a	Δ = 460	bi.bi = 27	b0.bi = 21	hypers = 15 x (irr-D4-8a) + 39 x (irr-D4-8b) + 1 x (irr-D4-56b)
vtx-D04-460-27-21-b	Δ = 460	bi.bi = 27	b0.bi = 21	hypers = 24 x (irr-D4-8a) + 30 x (irr-D4-8b) + 1 x (irr-D4-56a)
vtx-D04-461-40-24-a	Δ = 461	bi.bi = 40	b0.bi = 24	hypers = 16 x (irr-D4-8a) + 32 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-461-40-24-b	Δ = 461	bi.bi = 40	b0.bi = 24	hypers = 48 x (irr-D4-8b) + 2 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-461-40-24-c	Δ = 461	bi.bi = 40	b0.bi = 24	hypers = 32 x (irr-D4-8a) + 16 x (irr-D4-8b) + 3 x (irr-D4-35b)
vtx-D04-472-48-28	Δ = 472	bi.bi = 48	b0.bi = 28	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 11 x (irr-D4-28)
vtx-D04-476-17-19	Δ = 476	bi.bi = 17	b0.bi = 19	hypers = 21 x (irr-D4-8a) + 42 x (irr-D4-8b)
vtx-D04-483-108-42	Δ = 483	bi.bi = 108	b0.bi = 42	hypers = 7 x (irr-D4-28) + 3 x (irr-D4-35a) + 6 x (irr-D4-35b)
vtx-D04-484-108-42	Δ = 484	bi.bi = 108	b0.bi = 42	hypers = 1 x (irr-D4-8a) + 6 x (irr-D4-28) + 3 x (irr-D4-35a) + 5 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-485-75-35	Δ = 485	bi.bi = 75	b0.bi = 35	hypers = 3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 12 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-485-108-42-a	Δ = 485	bi.bi = 108	b0.bi = 42	hypers = 2 x (irr-D4-8a) + 5 x (irr-D4-28) + 3 x (irr-D4-35a) + 4 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-485-108-42-b	Δ = 485	bi.bi = 108	b0.bi = 42	hypers = 2 x (irr-D4-8b) + 5 x (irr-D4-28) + 2 x (irr-D4-35a) + 5 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-486-75-35	Δ = 486	bi.bi = 75	b0.bi = 35	hypers = 4 x (irr-D4-8a) + 6 x (irr-D4-8b) + 11 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-486-108-42-a	Δ = 486	bi.bi = 108	b0.bi = 42	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 4 x (irr-D4-28) + 2 x (irr-D4-35a) + 4 x (irr-D4-35b) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-486-108-42-b	Δ = 486	bi.bi = 108	b0.bi = 42	hypers = 3 x (irr-D4-8a) + 4 x (irr-D4-28) + 3 x (irr-D4-35a) + 3 x (irr-D4-35b) + 3 x (irr-D4-56a)
vtx-D04-487-48-28-a	Δ = 487	bi.bi = 48	b0.bi = 28	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 8 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-487-48-28-b	Δ = 487	bi.bi = 48	b0.bi = 28	hypers = 32 x (irr-D4-8b) + 8 x (irr-D4-28) + 1 x (irr-D4-35a)
vtx-D04-487-75-35-a	Δ = 487	bi.bi = 75	b0.bi = 35	hypers = 5 x (irr-D4-8a) + 6 x (irr-D4-8b) + 10 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a)
vtx-D04-487-75-35-b	Δ = 487	bi.bi = 75	b0.bi = 35	hypers = 3 x (irr-D4-8a) + 8 x (irr-D4-8b) + 10 x (irr-D4-28) + 1 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-487-108-42-a	Δ = 487	bi.bi = 108	b0.bi = 42	hypers = 2 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-28) + 2 x (irr-D4-35a) + 3 x (irr-D4-35b) + 2 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-487-108-42-b	Δ = 487	bi.bi = 108	b0.bi = 42	hypers = 4 x (irr-D4-8a) + 3 x (irr-D4-28) + 3 x (irr-D4-35a) + 2 x (irr-D4-35b) + 4 x (irr-D4-56a)
vtx-D04-487-108-42-c	Δ = 487	bi.bi = 108	b0.bi = 42	hypers = 4 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 4 x (irr-D4-35b) + 4 x (irr-D4-56b)
vtx-D04-488-48-28-a	Δ = 488	bi.bi = 48	b0.bi = 28	hypers = 8 x (irr-D4-8a) + 25 x (irr-D4-8b) + 7 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-488-48-28-b	Δ = 488	bi.bi = 48	b0.bi = 28	hypers = 17 x (irr-D4-8a) + 16 x (irr-D4-8b) + 7 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-488-75-35	Δ = 488	bi.bi = 75	b0.bi = 35	hypers = 4 x (irr-D4-8a) + 8 x (irr-D4-8b) + 9 x (irr-D4-28) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-488-108-42-a	Δ = 488	bi.bi = 108	b0.bi = 42	hypers = 3 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-35a) + 2 x (irr-D4-35b) + 3 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-488-108-42-b	Δ = 488	bi.bi = 108	b0.bi = 42	hypers = 1 x (irr-D4-8a) + 4 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b) + 1 x (irr-D4-56a) + 4 x (irr-D4-56b)
vtx-D04-488-108-42-c	Δ = 488	bi.bi = 108	b0.bi = 42	hypers = 5 x (irr-D4-8a) + 2 x (irr-D4-28) + 3 x (irr-D4-35a) + 1 x (irr-D4-35b) + 5 x (irr-D4-56a)
