vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	hypers = 1 x (irr-G2-7)
vtx-G02-230-32-16	Δ = 230	bi.bi = 32	b0.bi = 16	hypers = 19 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-230-40-18	Δ = 230	bi.bi = 40	b0.bi = 18	hypers = 13 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-230-48-20	Δ = 230	bi.bi = 48	b0.bi = 20	hypers = 7 x (irr-G2-7) + 12 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-230-56-22	Δ = 230	bi.bi = 56	b0.bi = 22	hypers = 1 x (irr-G2-7) + 15 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-230-70-24	Δ = 230	bi.bi = 70	b0.bi = 24	hypers = 4 x (irr-G2-7) + 8 x (irr-G2-27)
vtx-G02-231-27-15	Δ = 231	bi.bi = 27	b0.bi = 15	hypers = 21 x (irr-G2-7) + 7 x (irr-G2-14)
vtx-G02-231-35-17	Δ = 231	bi.bi = 35	b0.bi = 17	hypers = 15 x (irr-G2-7) + 10 x (irr-G2-14)
vtx-G02-231-65-23	Δ = 231	bi.bi = 65	b0.bi = 23	hypers = 6 x (irr-G2-7) + 1 x (irr-G2-14) + 7 x (irr-G2-27)
vtx-G02-231-242-44	Δ = 231	bi.bi = 242	b0.bi = 44	hypers = 1 x (irr-G2-14) + 3 x (irr-G2-77a)
vtx-G02-232-60-22	Δ = 232	bi.bi = 60	b0.bi = 22	hypers = 8 x (irr-G2-7) + 2 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-233-55-21	Δ = 233	bi.bi = 55	b0.bi = 21	hypers = 10 x (irr-G2-7) + 3 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-233-63-23	Δ = 233	bi.bi = 63	b0.bi = 23	hypers = 4 x (irr-G2-7) + 6 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-233-105-29	Δ = 233	bi.bi = 105	b0.bi = 29	hypers = 1 x (irr-G2-7) + 1 x (irr-G2-14) + 6 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-234-50-20	Δ = 234	bi.bi = 50	b0.bi = 20	hypers = 12 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-234-162-36	Δ = 234	bi.bi = 162	b0.bi = 36	hypers = 4 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-235-45-19	Δ = 235	bi.bi = 45	b0.bi = 19	hypers = 14 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-236-24-14	Δ = 236	bi.bi = 24	b0.bi = 14	hypers = 28 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-236-32-16	Δ = 236	bi.bi = 32	b0.bi = 16	hypers = 22 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-236-40-18	Δ = 236	bi.bi = 40	b0.bi = 18	hypers = 16 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-236-48-20	Δ = 236	bi.bi = 48	b0.bi = 20	hypers = 10 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-236-56-22	Δ = 236	bi.bi = 56	b0.bi = 22	hypers = 4 x (irr-G2-7) + 12 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-236-98-28	Δ = 236	bi.bi = 98	b0.bi = 28	hypers = 1 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-237-27-15	Δ = 237	bi.bi = 27	b0.bi = 15	hypers = 24 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-237-35-17	Δ = 237	bi.bi = 35	b0.bi = 17	hypers = 18 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-237-135-33	Δ = 237	bi.bi = 135	b0.bi = 33	hypers = 3 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-238-30-16	Δ = 238	bi.bi = 30	b0.bi = 16	hypers = 20 x (irr-G2-7) + 8 x (irr-G2-14)
vtx-G02-239-55-21	Δ = 239	bi.bi = 55	b0.bi = 21	hypers = 13 x (irr-G2-7) + 6 x (irr-G2-27)
vtx-G02-239-63-23	Δ = 239	bi.bi = 63	b0.bi = 23	hypers = 7 x (irr-G2-7) + 3 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-239-91-27	Δ = 239	bi.bi = 91	b0.bi = 27	hypers = 1 x (irr-G2-7) + 13 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-240-50-20	Δ = 240	bi.bi = 50	b0.bi = 20	hypers = 15 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-240-108-30	Δ = 240	bi.bi = 108	b0.bi = 30	hypers = 2 x (irr-G2-14) + 6 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-240-128-32	Δ = 240	bi.bi = 128	b0.bi = 32	hypers = 9 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-240-162-36	Δ = 240	bi.bi = 162	b0.bi = 36	hypers = 3 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 3 x (irr-G2-64)
