vtx-A03-17-n2-0	Δ = 17	bi.bi = -2	b0.bi = 0	hypers = 8 x (irr-A3-4)
vtx-A03-39-n1-1	Δ = 39	bi.bi = -1	b0.bi = 1	hypers = 12 x (irr-A3-4) + 1 x (irr-A3-6)
vtx-A03-61-0-2	Δ = 61	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-A3-4) + 2 x (irr-A3-6)
vtx-A03-83-1-3	Δ = 83	bi.bi = 1	b0.bi = 3	hypers = 20 x (irr-A3-4) + 3 x (irr-A3-6)
vtx-A03-105-2-4	Δ = 105	bi.bi = 2	b0.bi = 4	hypers = 24 x (irr-A3-4) + 4 x (irr-A3-6)
vtx-A03-127-3-5	Δ = 127	bi.bi = 3	b0.bi = 5	hypers = 28 x (irr-A3-4) + 5 x (irr-A3-6)
vtx-A03-149-4-6	Δ = 149	bi.bi = 4	b0.bi = 6	hypers = 32 x (irr-A3-4) + 6 x (irr-A3-6)
vtx-A03-171-5-7	Δ = 171	bi.bi = 5	b0.bi = 7	hypers = 36 x (irr-A3-4) + 7 x (irr-A3-6)
vtx-A03-176-8-8	Δ = 176	bi.bi = 8	b0.bi = 8	hypers = 32 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-15)
vtx-A03-177-8-8	Δ = 177	bi.bi = 8	b0.bi = 8	hypers = 32 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-10)
vtx-A03-193-6-8	Δ = 193	bi.bi = 6	b0.bi = 8	hypers = 40 x (irr-A3-4) + 8 x (irr-A3-6)
vtx-A03-198-9-9	Δ = 198	bi.bi = 9	b0.bi = 9	hypers = 36 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-15)
vtx-A03-199-9-9	Δ = 199	bi.bi = 9	b0.bi = 9	hypers = 36 x (irr-A3-4) + 10 x (irr-A3-6) + 1 x (irr-A3-10)
vtx-A03-203-12-10	Δ = 203	bi.bi = 12	b0.bi = 10	hypers = 32 x (irr-A3-4) + 10 x (irr-A3-6) + 2 x (irr-A3-15)
vtx-A03-204-12-10	Δ = 204	bi.bi = 12	b0.bi = 10	hypers = 32 x (irr-A3-4) + 11 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-205-12-10	Δ = 205	bi.bi = 12	b0.bi = 10	hypers = 32 x (irr-A3-4) + 12 x (irr-A3-6) + 2 x (irr-A3-10)
vtx-A03-208-15-11	Δ = 208	bi.bi = 15	b0.bi = 11	hypers = 28 x (irr-A3-4) + 11 x (irr-A3-6) + 3 x (irr-A3-15)
vtx-A03-209-15-11	Δ = 209	bi.bi = 15	b0.bi = 11	hypers = 28 x (irr-A3-4) + 12 x (irr-A3-6) + 1 x (irr-A3-10) + 2 x (irr-A3-15)
vtx-A03-210-15-11	Δ = 210	bi.bi = 15	b0.bi = 11	hypers = 28 x (irr-A3-4) + 13 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-211-15-11	Δ = 211	bi.bi = 15	b0.bi = 11	hypers = 28 x (irr-A3-4) + 14 x (irr-A3-6) + 3 x (irr-A3-10)
