vtx-C03-63-n1-1	Δ = 63	bi.bi = -1	b0.bi = 1	hypers = 14 x (irr-C3-6-q)
vtx-C03-89-0-2	Δ = 89	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-C3-6-q) + 1 x (irr-C3-14a)
vtx-C03-91-0-2	Δ = 91	bi.bi = 0	b0.bi = 2	hypers = 17.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)
vtx-C03-115-1-3	Δ = 115	bi.bi = 1	b0.bi = 3	hypers = 18 x (irr-C3-6-q) + 2 x (irr-C3-14a)
vtx-C03-117-1-3	Δ = 117	bi.bi = 1	b0.bi = 3	hypers = 19.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)
vtx-C03-119-1-3	Δ = 119	bi.bi = 1	b0.bi = 3	hypers = 21 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)
vtx-C03-141-2-4	Δ = 141	bi.bi = 2	b0.bi = 4	hypers = 20 x (irr-C3-6-q) + 3 x (irr-C3-14a)
vtx-C03-143-2-4	Δ = 143	bi.bi = 2	b0.bi = 4	hypers = 21.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a)
vtx-C03-145-2-4	Δ = 145	bi.bi = 2	b0.bi = 4	hypers = 23 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 1 x (irr-C3-14a)
vtx-C03-147-2-4	Δ = 147	bi.bi = 2	b0.bi = 4	hypers = 24.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q)
vtx-C03-167-3-5	Δ = 167	bi.bi = 3	b0.bi = 5	hypers = 22 x (irr-C3-6-q) + 4 x (irr-C3-14a)
vtx-C03-169-3-5	Δ = 169	bi.bi = 3	b0.bi = 5	hypers = 23.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a)
vtx-C03-171-3-5	Δ = 171	bi.bi = 3	b0.bi = 5	hypers = 25 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 2 x (irr-C3-14a)
vtx-C03-173-3-5	Δ = 173	bi.bi = 3	b0.bi = 5	hypers = 26.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)
vtx-C03-175-3-5	Δ = 175	bi.bi = 3	b0.bi = 5	hypers = 28 x (irr-C3-6-q) + 2 x (irr-C3-14b-q)
vtx-C03-193-4-6	Δ = 193	bi.bi = 4	b0.bi = 6	hypers = 24 x (irr-C3-6-q) + 5 x (irr-C3-14a)
vtx-C03-195-4-6	Δ = 195	bi.bi = 4	b0.bi = 6	hypers = 25.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a)
vtx-C03-197-4-6	Δ = 197	bi.bi = 4	b0.bi = 6	hypers = 27 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 3 x (irr-C3-14a)
vtx-C03-199-4-6	Δ = 199	bi.bi = 4	b0.bi = 6	hypers = 28.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a)
vtx-C03-201-4-6	Δ = 201	bi.bi = 4	b0.bi = 6	hypers = 30 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 1 x (irr-C3-14a)
vtx-C03-203-4-6	Δ = 203	bi.bi = 4	b0.bi = 6	hypers = 31.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q)
vtx-C03-208-8-8	Δ = 208	bi.bi = 8	b0.bi = 8	hypers = 16 x (irr-C3-6-q) + 8 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-210-8-8	Δ = 210	bi.bi = 8	b0.bi = 8	hypers = 17.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-212-8-8	Δ = 212	bi.bi = 8	b0.bi = 8	hypers = 19 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-214-8-8	Δ = 214	bi.bi = 8	b0.bi = 8	hypers = 20.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1 x (irr-C3-21)
