vtx-A05-37-n2-0	Δ = 37	bi.bi = -2	b0.bi = 0	hypers = 12 x (irr-A5-6)
vtx-A05-218-8-8-b	Δ = 218	bi.bi = 8	b0.bi = 8	hypers = 17 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-219-8-8-a	Δ = 219	bi.bi = 8	b0.bi = 8	hypers = 19 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-219-8-8-b	Δ = 219	bi.bi = 8	b0.bi = 8	hypers = 18 x (irr-A5-6) + 1 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-220-8-8-a	Δ = 220	bi.bi = 8	b0.bi = 8	hypers = 20 x (irr-A5-6) + 2 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-220-8-8-b	Δ = 220	bi.bi = 8	b0.bi = 8	hypers = 19 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-221-8-8-a	Δ = 221	bi.bi = 8	b0.bi = 8	hypers = 20 x (irr-A5-6) + 2 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-221-8-8-b	Δ = 221	bi.bi = 8	b0.bi = 8	hypers = 21 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-222-8-8-a	Δ = 222	bi.bi = 8	b0.bi = 8	hypers = 22 x (irr-A5-6) + 3 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-222-8-8-b	Δ = 222	bi.bi = 8	b0.bi = 8	hypers = 21 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-223-8-8-a	Δ = 223	bi.bi = 8	b0.bi = 8	hypers = 22 x (irr-A5-6) + 3 x (irr-A5-20-q) + 3 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-223-8-8-b	Δ = 223	bi.bi = 8	b0.bi = 8	hypers = 23 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-224-8-8-a	Δ = 224	bi.bi = 8	b0.bi = 8	hypers = 24 x (irr-A5-6) + 4 x (irr-A5-20-q) + 1 x (irr-A5-35)
vtx-A05-224-8-8-b	Δ = 224	bi.bi = 8	b0.bi = 8	hypers = 23 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-225-8-8	Δ = 225	bi.bi = 8	b0.bi = 8	hypers = 24 x (irr-A5-6) + 4 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-225-15-11	Δ = 225	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-20-q) + 9 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-225-18-12	Δ = 225	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-A5-20-q) + 4 x (irr-A5-35)
vtx-A05-226-5-7	Δ = 226	bi.bi = 5	b0.bi = 7	hypers = 26 x (irr-A5-6) + 7 x (irr-A5-15)
vtx-A05-226-8-8	Δ = 226	bi.bi = 8	b0.bi = 8	hypers = 25 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 1 x (irr-A5-21)
vtx-A05-226-15-11-a	Δ = 226	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-20-q) + 10 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-226-15-11-b	Δ = 226	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-226-18-12	Δ = 226	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21) + 3 x (irr-A5-35)
vtx-A05-227-5-7	Δ = 227	bi.bi = 5	b0.bi = 7	hypers = 27 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 6 x (irr-A5-15)
vtx-A05-227-15-11-a	Δ = 227	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-227-15-11-b	Δ = 227	bi.bi = 15	b0.bi = 11	hypers = 2 x (irr-A5-6) + 2 x (irr-A5-20-q) + 7 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-227-15-11-c	Δ = 227	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-20-q) + 11 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-227-18-12-a	Δ = 227	bi.bi = 18	b0.bi = 12	hypers = 1 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 1 x (irr-A5-21) + 3 x (irr-A5-35)
vtx-A05-227-18-12-b	Δ = 227	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-A5-20-q) + 2 x (irr-A5-15) + 2 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-228-5-7	Δ = 228	bi.bi = 5	b0.bi = 7	hypers = 28 x (irr-A5-6) + 1 x (irr-A5-20-q) + 5 x (irr-A5-15)
vtx-A05-228-15-11-a	Δ = 228	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 10 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-228-15-11-b	Δ = 228	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-20-q) + 12 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-228-15-11-c	Δ = 228	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-228-15-11-d	Δ = 228	bi.bi = 15	b0.bi = 11	hypers = 2 x (irr-A5-6) + 2 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-228-18-12-a	Δ = 228	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-A5-20-q) + 3 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-228-18-12-b	Δ = 228	bi.bi = 18	b0.bi = 12	hypers = 1 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 2 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-229-5-7	Δ = 229	bi.bi = 5	b0.bi = 7	hypers = 29 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 4 x (irr-A5-15)
vtx-A05-229-15-11-a	Δ = 229	bi.bi = 15	b0.bi = 11	hypers = 2 x (irr-A5-6) + 2 x (irr-A5-20-q) + 9 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-229-15-11-b	Δ = 229	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-229-15-11-c	Δ = 229	bi.bi = 15	b0.bi = 11	hypers = 4 x (irr-A5-6) + 3 x (irr-A5-20-q) + 5 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-229-15-11-d	Δ = 229	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 11 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-229-18-12-a	Δ = 229	bi.bi = 18	b0.bi = 12	hypers = 2 x (irr-A5-6) + 7 x (irr-A5-20-q) + 2 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-229-18-12-b	Δ = 229	bi.bi = 18	b0.bi = 12	hypers = 1 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-229-18-12-c	Δ = 229	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-A5-20-q) + 4 x (irr-A5-15) + 4 x (irr-A5-21)
vtx-A05-230-5-7	Δ = 230	bi.bi = 5	b0.bi = 7	hypers = 30 x (irr-A5-6) + 2 x (irr-A5-20-q) + 3 x (irr-A5-15)
vtx-A05-230-15-11-a	Δ = 230	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-230-15-11-b	Δ = 230	bi.bi = 15	b0.bi = 11	hypers = 2 x (irr-A5-6) + 2 x (irr-A5-20-q) + 10 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-230-15-11-c	Δ = 230	bi.bi = 15	b0.bi = 11	hypers = 4 x (irr-A5-6) + 3 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-230-15-11-d	Δ = 230	bi.bi = 15	b0.bi = 11	hypers = 5 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-230-18-12-a	Δ = 230	bi.bi = 18	b0.bi = 12	hypers = 2 x (irr-A5-6) + 7 x (irr-A5-20-q) + 1 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-230-18-12-b	Δ = 230	bi.bi = 18	b0.bi = 12	hypers = 1 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 4 x (irr-A5-21)
vtx-A05-231-5-7	Δ = 231	bi.bi = 5	b0.bi = 7	hypers = 31 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 2 x (irr-A5-15)
vtx-A05-231-15-11-a	Δ = 231	bi.bi = 15	b0.bi = 11	hypers = 5 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-231-15-11-b	Δ = 231	bi.bi = 15	b0.bi = 11	hypers = 4 x (irr-A5-6) + 3 x (irr-A5-20-q) + 7 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-231-15-11-c	Δ = 231	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-231-15-11-d	Δ = 231	bi.bi = 15	b0.bi = 11	hypers = 6 x (irr-A5-6) + 4 x (irr-A5-20-q) + 3 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-231-18-12-a	Δ = 231	bi.bi = 18	b0.bi = 12	hypers = 3 x (irr-A5-6) + 7.5 x (irr-A5-20-q) + 3 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-231-18-12-b	Δ = 231	bi.bi = 18	b0.bi = 12	hypers = 2 x (irr-A5-6) + 7 x (irr-A5-20-q) + 2 x (irr-A5-15) + 4 x (irr-A5-21)
vtx-A05-232-5-7	Δ = 232	bi.bi = 5	b0.bi = 7	hypers = 32 x (irr-A5-6) + 3 x (irr-A5-20-q) + 1 x (irr-A5-15)
vtx-A05-232-15-11-a	Δ = 232	bi.bi = 15	b0.bi = 11	hypers = 7 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-232-15-11-b	Δ = 232	bi.bi = 15	b0.bi = 11	hypers = 5 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-232-15-11-c	Δ = 232	bi.bi = 15	b0.bi = 11	hypers = 6 x (irr-A5-6) + 4 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-232-15-11-d	Δ = 232	bi.bi = 15	b0.bi = 11	hypers = 4 x (irr-A5-6) + 3 x (irr-A5-20-q) + 8 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-232-18-12	Δ = 232	bi.bi = 18	b0.bi = 12	hypers = 3 x (irr-A5-6) + 7.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 4 x (irr-A5-21)
vtx-A05-233-5-7	Δ = 233	bi.bi = 5	b0.bi = 7	hypers = 33 x (irr-A5-6) + 3.5 x (irr-A5-20-q)
vtx-A05-233-12-10	Δ = 233	bi.bi = 12	b0.bi = 10	hypers = 8 x (irr-A5-6) + 10 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-233-15-11-a	Δ = 233	bi.bi = 15	b0.bi = 11	hypers = 8 x (irr-A5-6) + 5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-233-15-11-b	Δ = 233	bi.bi = 15	b0.bi = 11	hypers = 7 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-233-15-11-c	Δ = 233	bi.bi = 15	b0.bi = 11	hypers = 6 x (irr-A5-6) + 4 x (irr-A5-20-q) + 5 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-233-15-11-d	Δ = 233	bi.bi = 15	b0.bi = 11	hypers = 5 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-233-18-12	Δ = 233	bi.bi = 18	b0.bi = 12	hypers = 4 x (irr-A5-6) + 8 x (irr-A5-20-q) + 4 x (irr-A5-21)
vtx-A05-234-12-10-a	Δ = 234	bi.bi = 12	b0.bi = 10	hypers = 9 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-234-12-10-b	Δ = 234	bi.bi = 12	b0.bi = 10	hypers = 8 x (irr-A5-6) + 11 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-234-15-11-a	Δ = 234	bi.bi = 15	b0.bi = 11	hypers = 6 x (irr-A5-6) + 4 x (irr-A5-20-q) + 6 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-234-15-11-b	Δ = 234	bi.bi = 15	b0.bi = 11	hypers = 9 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 3 x (irr-A5-35)
vtx-A05-234-15-11-c	Δ = 234	bi.bi = 15	b0.bi = 11	hypers = 7 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-234-15-11-d	Δ = 234	bi.bi = 15	b0.bi = 11	hypers = 8 x (irr-A5-6) + 5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-235-12-10-a	Δ = 235	bi.bi = 12	b0.bi = 10	hypers = 9 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 10 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-235-12-10-b	Δ = 235	bi.bi = 12	b0.bi = 10	hypers = 10 x (irr-A5-6) + 1 x (irr-A5-20-q) + 8 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-235-12-10-c	Δ = 235	bi.bi = 12	b0.bi = 10	hypers = 8 x (irr-A5-6) + 12 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-235-15-11-a	Δ = 235	bi.bi = 15	b0.bi = 11	hypers = 9 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-235-15-11-b	Δ = 235	bi.bi = 15	b0.bi = 11	hypers = 8 x (irr-A5-6) + 5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-235-15-11-c	Δ = 235	bi.bi = 15	b0.bi = 11	hypers = 7 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-236-12-10-a	Δ = 236	bi.bi = 12	b0.bi = 10	hypers = 9 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 11 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-236-12-10-b	Δ = 236	bi.bi = 12	b0.bi = 10	hypers = 10 x (irr-A5-6) + 1 x (irr-A5-20-q) + 9 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-236-12-10-c	Δ = 236	bi.bi = 12	b0.bi = 10	hypers = 11 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-236-15-11-a	Δ = 236	bi.bi = 15	b0.bi = 11	hypers = 9 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-236-15-11-b	Δ = 236	bi.bi = 15	b0.bi = 11	hypers = 8 x (irr-A5-6) + 5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-236-15-11-c	Δ = 236	bi.bi = 15	b0.bi = 11	hypers = 10 x (irr-A5-6) + 6 x (irr-A5-20-q) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-237-12-10-a	Δ = 237	bi.bi = 12	b0.bi = 10	hypers = 12 x (irr-A5-6) + 2 x (irr-A5-20-q) + 6 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-237-12-10-b	Δ = 237	bi.bi = 12	b0.bi = 10	hypers = 11 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-237-12-10-c	Δ = 237	bi.bi = 12	b0.bi = 10	hypers = 10 x (irr-A5-6) + 1 x (irr-A5-20-q) + 10 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-237-15-11-a	Δ = 237	bi.bi = 15	b0.bi = 11	hypers = 9 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-237-15-11-b	Δ = 237	bi.bi = 15	b0.bi = 11	hypers = 10 x (irr-A5-6) + 6 x (irr-A5-20-q) + 1 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-238-12-10-a	Δ = 238	bi.bi = 12	b0.bi = 10	hypers = 11 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-238-12-10-b	Δ = 238	bi.bi = 12	b0.bi = 10	hypers = 12 x (irr-A5-6) + 2 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-238-12-10-c	Δ = 238	bi.bi = 12	b0.bi = 10	hypers = 13 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-238-15-11-a	Δ = 238	bi.bi = 15	b0.bi = 11	hypers = 10 x (irr-A5-6) + 6 x (irr-A5-20-q) + 2 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-238-15-11-b	Δ = 238	bi.bi = 15	b0.bi = 11	hypers = 11 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-239-12-10-a	Δ = 239	bi.bi = 12	b0.bi = 10	hypers = 12 x (irr-A5-6) + 2 x (irr-A5-20-q) + 8 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-239-12-10-b	Δ = 239	bi.bi = 12	b0.bi = 10	hypers = 13 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-239-12-10-c	Δ = 239	bi.bi = 12	b0.bi = 10	hypers = 14 x (irr-A5-6) + 3 x (irr-A5-20-q) + 4 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-239-15-11	Δ = 239	bi.bi = 15	b0.bi = 11	hypers = 11 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-240-12-10-a	Δ = 240	bi.bi = 12	b0.bi = 10	hypers = 15 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-240-12-10-b	Δ = 240	bi.bi = 12	b0.bi = 10	hypers = 14 x (irr-A5-6) + 3 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-240-12-10-c	Δ = 240	bi.bi = 12	b0.bi = 10	hypers = 13 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-240-15-11	Δ = 240	bi.bi = 15	b0.bi = 11	hypers = 12 x (irr-A5-6) + 7 x (irr-A5-20-q) + 3 x (irr-A5-21)
vtx-A05-241-12-10-a	Δ = 241	bi.bi = 12	b0.bi = 10	hypers = 16 x (irr-A5-6) + 4 x (irr-A5-20-q) + 2 x (irr-A5-15) + 2 x (irr-A5-35)
vtx-A05-241-12-10-b	Δ = 241	bi.bi = 12	b0.bi = 10	hypers = 15 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-241-12-10-c	Δ = 241	bi.bi = 12	b0.bi = 10	hypers = 14 x (irr-A5-6) + 3 x (irr-A5-20-q) + 6 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-242-12-10-a	Δ = 242	bi.bi = 12	b0.bi = 10	hypers = 17 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 2 x (irr-A5-35)
