vtx-A05-37-n2-0	Δ = 37	bi.bi = -2	b0.bi = 0	hypers = 12 x (irr-A5-6)
vtx-A05-64-n1-1	Δ = 64	bi.bi = -1	b0.bi = 1	hypers = 14 x (irr-A5-6) + 1 x (irr-A5-15)
vtx-A05-65-n1-1	Δ = 65	bi.bi = -1	b0.bi = 1	hypers = 15 x (irr-A5-6) + 0.5 x (irr-A5-20-q)
vtx-A05-91-0-2	Δ = 91	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-A5-6) + 2 x (irr-A5-15)
vtx-A05-92-0-2	Δ = 92	bi.bi = 0	b0.bi = 2	hypers = 17 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)
vtx-A05-93-0-2	Δ = 93	bi.bi = 0	b0.bi = 2	hypers = 18 x (irr-A5-6) + 1 x (irr-A5-20-q)
vtx-A05-118-1-3	Δ = 118	bi.bi = 1	b0.bi = 3	hypers = 18 x (irr-A5-6) + 3 x (irr-A5-15)
vtx-A05-119-1-3	Δ = 119	bi.bi = 1	b0.bi = 3	hypers = 19 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 2 x (irr-A5-15)
vtx-A05-120-1-3	Δ = 120	bi.bi = 1	b0.bi = 3	hypers = 20 x (irr-A5-6) + 1 x (irr-A5-20-q) + 1 x (irr-A5-15)
vtx-A05-121-1-3	Δ = 121	bi.bi = 1	b0.bi = 3	hypers = 21 x (irr-A5-6) + 1.5 x (irr-A5-20-q)
vtx-A05-145-2-4	Δ = 145	bi.bi = 2	b0.bi = 4	hypers = 20 x (irr-A5-6) + 4 x (irr-A5-15)
vtx-A05-146-2-4	Δ = 146	bi.bi = 2	b0.bi = 4	hypers = 21 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 3 x (irr-A5-15)
vtx-A05-147-2-4	Δ = 147	bi.bi = 2	b0.bi = 4	hypers = 22 x (irr-A5-6) + 1 x (irr-A5-20-q) + 2 x (irr-A5-15)
vtx-A05-148-2-4	Δ = 148	bi.bi = 2	b0.bi = 4	hypers = 23 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 1 x (irr-A5-15)
vtx-A05-149-2-4	Δ = 149	bi.bi = 2	b0.bi = 4	hypers = 24 x (irr-A5-6) + 2 x (irr-A5-20-q)
vtx-A05-172-3-5	Δ = 172	bi.bi = 3	b0.bi = 5	hypers = 22 x (irr-A5-6) + 5 x (irr-A5-15)
vtx-A05-173-3-5	Δ = 173	bi.bi = 3	b0.bi = 5	hypers = 23 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 4 x (irr-A5-15)
vtx-A05-174-3-5	Δ = 174	bi.bi = 3	b0.bi = 5	hypers = 24 x (irr-A5-6) + 1 x (irr-A5-20-q) + 3 x (irr-A5-15)
vtx-A05-175-3-5	Δ = 175	bi.bi = 3	b0.bi = 5	hypers = 25 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 2 x (irr-A5-15)
vtx-A05-176-3-5	Δ = 176	bi.bi = 3	b0.bi = 5	hypers = 26 x (irr-A5-6) + 2 x (irr-A5-20-q) + 1 x (irr-A5-15)
vtx-A05-177-3-5	Δ = 177	bi.bi = 3	b0.bi = 5	hypers = 27 x (irr-A5-6) + 2.5 x (irr-A5-20-q)
vtx-A05-199-4-6	Δ = 199	bi.bi = 4	b0.bi = 6	hypers = 24 x (irr-A5-6) + 6 x (irr-A5-15)
vtx-A05-200-4-6	Δ = 200	bi.bi = 4	b0.bi = 6	hypers = 25 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 5 x (irr-A5-15)
vtx-A05-201-4-6	Δ = 201	bi.bi = 4	b0.bi = 6	hypers = 26 x (irr-A5-6) + 1 x (irr-A5-20-q) + 4 x (irr-A5-15)
vtx-A05-202-4-6	Δ = 202	bi.bi = 4	b0.bi = 6	hypers = 27 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 3 x (irr-A5-15)
vtx-A05-203-4-6	Δ = 203	bi.bi = 4	b0.bi = 6	hypers = 28 x (irr-A5-6) + 2 x (irr-A5-20-q) + 2 x (irr-A5-15)
vtx-A05-204-4-6	Δ = 204	bi.bi = 4	b0.bi = 6	hypers = 29 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 1 x (irr-A5-15)
vtx-A05-205-4-6	Δ = 205	bi.bi = 4	b0.bi = 6	hypers = 30 x (irr-A5-6) + 3 x (irr-A5-20-q)
vtx-A05-216-8-8	Δ = 216	bi.bi = 8	b0.bi = 8	hypers = 16 x (irr-A5-6) + 8 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-217-8-8-a	Δ = 217	bi.bi = 8	b0.bi = 8	hypers = 17 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-217-8-8-b	Δ = 217	bi.bi = 8	b0.bi = 8	hypers = 16 x (irr-A5-6) + 9 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-218-8-8-a	Δ = 218	bi.bi = 8	b0.bi = 8	hypers = 18 x (irr-A5-6) + 1 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-35)
