vtx-E07-n133-n8-n6	Δ = -133	bi.bi = -8	b0.bi = -6	hypers = 
vtx-E07-n105-n7-n5	Δ = -105	bi.bi = -7	b0.bi = -5	hypers = 0.5 x (irr-E7-56-q)
vtx-E07-n77-n6-n4	Δ = -77	bi.bi = -6	b0.bi = -4	hypers = 1 x (irr-E7-56-q)
vtx-E07-n49-n5-n3	Δ = -49	bi.bi = -5	b0.bi = -3	hypers = 1.5 x (irr-E7-56-q)
vtx-E07-n21-n4-n2	Δ = -21	bi.bi = -4	b0.bi = -2	hypers = 2 x (irr-E7-56-q)
vtx-E07-7-n3-n1	Δ = 7	bi.bi = -3	b0.bi = -1	hypers = 2.5 x (irr-E7-56-q)
vtx-E07-35-n2-0	Δ = 35	bi.bi = -2	b0.bi = 0	hypers = 3 x (irr-E7-56-q)
vtx-E07-63-n1-1	Δ = 63	bi.bi = -1	b0.bi = 1	hypers = 3.5 x (irr-E7-56-q)
vtx-E07-91-0-2	Δ = 91	bi.bi = 0	b0.bi = 2	hypers = 4 x (irr-E7-56-q)
vtx-E07-119-1-3	Δ = 119	bi.bi = 1	b0.bi = 3	hypers = 4.5 x (irr-E7-56-q)
vtx-E07-147-2-4	Δ = 147	bi.bi = 2	b0.bi = 4	hypers = 5 x (irr-E7-56-q)
vtx-E07-175-3-5	Δ = 175	bi.bi = 3	b0.bi = 5	hypers = 5.5 x (irr-E7-56-q)
vtx-E07-203-4-6	Δ = 203	bi.bi = 4	b0.bi = 6	hypers = 6 x (irr-E7-56-q)
vtx-E07-224-8-8	Δ = 224	bi.bi = 8	b0.bi = 8	hypers = 4 x (irr-E7-56-q) + 1 x (irr-E7-133)
vtx-E07-231-5-7	Δ = 231	bi.bi = 5	b0.bi = 7	hypers = 6.5 x (irr-E7-56-q)
vtx-E07-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 2 x (irr-E7-56-q) + 2 x (irr-E7-133)
vtx-E07-252-9-9	Δ = 252	bi.bi = 9	b0.bi = 9	hypers = 4.5 x (irr-E7-56-q) + 1 x (irr-E7-133)
vtx-E07-259-6-8	Δ = 259	bi.bi = 6	b0.bi = 8	hypers = 7 x (irr-E7-56-q)
vtx-E07-266-16-12	Δ = 266	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-E7-133)
vtx-E07-287-7-9	Δ = 287	bi.bi = 7	b0.bi = 9	hypers = 7.5 x (irr-E7-56-q)
vtx-E07-315-8-10	Δ = 315	bi.bi = 8	b0.bi = 10	hypers = 8 x (irr-E7-56-q)
vtx-E07-427-12-14	Δ = 427	bi.bi = 12	b0.bi = 14	hypers = 10 x (irr-E7-56-q)
vtx-E07-455-13-15	Δ = 455	bi.bi = 13	b0.bi = 15	hypers = 10.5 x (irr-E7-56-q)
vtx-E07-483-14-16	Δ = 483	bi.bi = 14	b0.bi = 16	hypers = 11 x (irr-E7-56-q)
vtx-E07-483-27-21	Δ = 483	bi.bi = 27	b0.bi = 21	hypers = 1.5 x (irr-E7-56-q) + 4 x (irr-E7-133)
