vtx-A11-n17-n1-n1	Δ = -17	bi.bi = -1	b0.bi = -1	hypers = 4 x (irr-A11-12) + 1 x (irr-A11-78)
vtx-A11-145-n2-0	Δ = 145	bi.bi = -2	b0.bi = 0	hypers = 24 x (irr-A11-12)
vtx-A11-163-n1-1	Δ = 163	bi.bi = -1	b0.bi = 1	hypers = 20 x (irr-A11-12) + 1 x (irr-A11-66)
vtx-A11-181-0-2	Δ = 181	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-A11-12) + 2 x (irr-A11-66)
vtx-A11-199-1-3	Δ = 199	bi.bi = 1	b0.bi = 3	hypers = 12 x (irr-A11-12) + 3 x (irr-A11-66)
vtx-A11-217-2-4	Δ = 217	bi.bi = 2	b0.bi = 4	hypers = 8 x (irr-A11-12) + 4 x (irr-A11-66)
vtx-A11-235-3-5	Δ = 235	bi.bi = 3	b0.bi = 5	hypers = 4 x (irr-A11-12) + 5 x (irr-A11-66)
vtx-A11-253-4-6	Δ = 253	bi.bi = 4	b0.bi = 6	hypers = 6 x (irr-A11-66)
