irr-C22-1	1 x (irr-B5-1,irr-C2-1)
irr-C22-44-q	1 x (irr-B5-11,irr-C2-4-q)
irr-C22-945	1 x (irr-B5-1,irr-C2-5) + 1 x (irr-B5-65,irr-C2-1) + 1 x (irr-B5-55,irr-C2-10) + 1 x (irr-B5-65,irr-C2-5)
irr-C22-990	1 x (irr-B5-1,irr-C2-10) + 1 x (irr-B5-55,irr-C2-1) + 1 x (irr-B5-55,irr-C2-5) + 1 x (irr-B5-65,irr-C2-10)
