irr-C22-1	1 x (irr-C5-1,irr-C17-1)
irr-C22-44-q	1 x (irr-C5-10-q,irr-C17-1) + 1 x (irr-C5-1,irr-C17-34-q)
irr-C22-945	1 x (irr-C5-1,irr-C17-1) + 1 x (irr-C5-44,irr-C17-1) + 1 x (irr-C5-10-q,irr-C17-34-q) + 1 x (irr-C5-1,irr-C17-560)
irr-C22-990	1 x (irr-C5-55,irr-C17-1) + 1 x (irr-C5-10-q,irr-C17-34-q) + 1 x (irr-C5-1,irr-C17-595)
