irr-C22-1	1 x (irr-A21-1)
irr-C22-44-q	2 x (irr-A21-22)
irr-C22-945	2 x (irr-A21-231) + 1 x (irr-A21-483)
irr-C22-990	1 x (irr-A21-1) + 2 x (irr-A21-253) + 1 x (irr-A21-483)
