irr-C22-1	1 x (irr-C10-1,irr-C12-1)
irr-C22-44-q	1 x (irr-C10-20-q,irr-C12-1) + 1 x (irr-C10-1,irr-C12-24-q)
irr-C22-945	1 x (irr-C10-1,irr-C12-1) + 1 x (irr-C10-189,irr-C12-1) + 1 x (irr-C10-20-q,irr-C12-24-q) + 1 x (irr-C10-1,irr-C12-275)
irr-C22-990	1 x (irr-C10-210,irr-C12-1) + 1 x (irr-C10-20-q,irr-C12-24-q) + 1 x (irr-C10-1,irr-C12-300)
