irr-C22-1	1 x (irr-C8-1,irr-C14-1)
irr-C22-44-q	1 x (irr-C8-16-q,irr-C14-1) + 1 x (irr-C8-1,irr-C14-28-q)
irr-C22-945	1 x (irr-C8-1,irr-C14-1) + 1 x (irr-C8-119,irr-C14-1) + 1 x (irr-C8-16-q,irr-C14-28-q) + 1 x (irr-C8-1,irr-C14-377)
irr-C22-990	1 x (irr-C8-136,irr-C14-1) + 1 x (irr-C8-16-q,irr-C14-28-q) + 1 x (irr-C8-1,irr-C14-406)
