irr-C22-1	1 x (irr-A1-1,irr-D11-1)
irr-C22-44-q	1 x (irr-A1-2-q,irr-D11-22)
irr-C22-945	1 x (irr-A1-3,irr-D11-231) + 1 x (irr-A1-1,irr-D11-252)
irr-C22-990	1 x (irr-A1-3,irr-D11-1) + 1 x (irr-A1-3,irr-D11-252) + 1 x (irr-A1-1,irr-D11-231)
