irr-C22-1	1 x (irr-C11-1,irr-C11-1)
irr-C22-44-q	1 x (irr-C11-22-q,irr-C11-1) + 1 x (irr-C11-1,irr-C11-22-q)
irr-C22-945	1 x (irr-C11-1,irr-C11-1) + 1 x (irr-C11-230,irr-C11-1) + 1 x (irr-C11-22-q,irr-C11-22-q) + 1 x (irr-C11-1,irr-C11-230)
irr-C22-990	1 x (irr-C11-253,irr-C11-1) + 1 x (irr-C11-22-q,irr-C11-22-q) + 1 x (irr-C11-1,irr-C11-253)
