irr-A10-1	1 x (irr-B5-1)
irr-A10-11	1 x (irr-B5-11)
irr-A10-55	1 x (irr-B5-55)
irr-A10-66	1 x (irr-B5-1) + 1 x (irr-B5-65)
irr-A10-120	1 x (irr-B5-55) + 1 x (irr-B5-65)
irr-A10-165	1 x (irr-B5-165)
