irr-A8-1	1 x (irr-B4-1)
irr-A8-9	1 x (irr-B4-9)
irr-A8-36	1 x (irr-B4-36)
irr-A8-45	1 x (irr-B4-1) + 1 x (irr-B4-44)
irr-A8-80	1 x (irr-B4-36) + 1 x (irr-B4-44)
irr-A8-84	1 x (irr-B4-84)
irr-A8-126	1 x (irr-B4-126)
