irr-A8-1	1 x (irr-A7-1)
irr-A8-9	1 x (irr-A7-1) + 1 x (irr-A7-8)
irr-A8-36	1 x (irr-A7-8) + 1 x (irr-A7-28)
irr-A8-45	1 x (irr-A7-1) + 1 x (irr-A7-8) + 1 x (irr-A7-36)
irr-A8-80	1 x (irr-A7-1) + 2 x (irr-A7-8) + 1 x (irr-A7-63)
irr-A8-84	1 x (irr-A7-28) + 1 x (irr-A7-56)
irr-A8-126	1 x (irr-A7-56) + 1 x (irr-A7-70)
