irr-A8-1	1 x (irr-A2-1,irr-A5-1)
irr-A8-9	1 x (irr-A2-3,irr-A5-1) + 1 x (irr-A2-1,irr-A5-6)
irr-A8-36	1 x (irr-A2-3,irr-A5-1) + 1 x (irr-A2-3,irr-A5-6) + 1 x (irr-A2-1,irr-A5-15)
irr-A8-45	1 x (irr-A2-6,irr-A5-1) + 1 x (irr-A2-3,irr-A5-6) + 1 x (irr-A2-1,irr-A5-21)
irr-A8-80	1 x (irr-A2-1,irr-A5-1) + 2 x (irr-A2-3,irr-A5-6) + 1 x (irr-A2-8,irr-A5-1) + 1 x (irr-A2-1,irr-A5-35)
irr-A8-84	1 x (irr-A2-1,irr-A5-1) + 1 x (irr-A2-3,irr-A5-6) + 1 x (irr-A2-3,irr-A5-15) + 1 x (irr-A2-1,irr-A5-20-q)
irr-A8-126	1 x (irr-A2-1,irr-A5-6) + 1 x (irr-A2-1,irr-A5-15) + 1 x (irr-A2-3,irr-A5-15) + 1 x (irr-A2-3,irr-A5-20-q)
