irr-C15-1	1 x (irr-A1-1,irr-B7-1)
irr-C15-30-q	1 x (irr-A1-2-q,irr-B7-15)
irr-C15-434	1 x (irr-A1-3,irr-B7-105) + 1 x (irr-A1-1,irr-B7-119)
irr-C15-465	1 x (irr-A1-3,irr-B7-1) + 1 x (irr-A1-3,irr-B7-119) + 1 x (irr-A1-1,irr-B7-105)
