irr-C15-1	1 x (irr-A1-1,irr-C5-1)
irr-C15-30-q	1 x (irr-A1-3,irr-C5-10-q)
irr-C15-434	1 x (irr-A1-5,irr-C5-1) + 1 x (irr-A1-1,irr-C5-44) + 1 x (irr-A1-5,irr-C5-44) + 1 x (irr-A1-3,irr-C5-55)
irr-C15-465	1 x (irr-A1-3,irr-C5-1) + 1 x (irr-A1-3,irr-C5-44) + 1 x (irr-A1-1,irr-C5-55) + 1 x (irr-A1-5,irr-C5-55)
