irr-C15-1	1 x (irr-A1-1,irr-C14-1)
irr-C15-30-q	1 x (irr-A1-2-q,irr-C14-1) + 1 x (irr-A1-1,irr-C14-28-q)
irr-C15-434	1 x (irr-A1-1,irr-C14-1) + 1 x (irr-A1-2-q,irr-C14-28-q) + 1 x (irr-A1-1,irr-C14-377)
irr-C15-465	1 x (irr-A1-3,irr-C14-1) + 1 x (irr-A1-2-q,irr-C14-28-q) + 1 x (irr-A1-1,irr-C14-406)
