irr-C7-1	1 x (irr-A6-1)
irr-C7-14-q	2 x (irr-A6-7)
irr-C7-90	2 x (irr-A6-21) + 1 x (irr-A6-48)
irr-C7-105	1 x (irr-A6-1) + 2 x (irr-A6-28) + 1 x (irr-A6-48)
