irr-C7-1	1 x (irr-A1-1,irr-C6-1)
irr-C7-14-q	1 x (irr-A1-2-q,irr-C6-1) + 1 x (irr-A1-1,irr-C6-12-q)
irr-C7-90	1 x (irr-A1-1,irr-C6-1) + 1 x (irr-A1-2-q,irr-C6-12-q) + 1 x (irr-A1-1,irr-C6-65)
irr-C7-105	1 x (irr-A1-3,irr-C6-1) + 1 x (irr-A1-2-q,irr-C6-12-q) + 1 x (irr-A1-1,irr-C6-78)
