irr-C7-1	1 x (irr-C2-1,irr-C5-1)
irr-C7-14-q	1 x (irr-C2-4-q,irr-C5-1) + 1 x (irr-C2-1,irr-C5-10-q)
irr-C7-90	1 x (irr-C2-1,irr-C5-1) + 1 x (irr-C2-5,irr-C5-1) + 1 x (irr-C2-4-q,irr-C5-10-q) + 1 x (irr-C2-1,irr-C5-44)
irr-C7-105	1 x (irr-C2-10,irr-C5-1) + 1 x (irr-C2-4-q,irr-C5-10-q) + 1 x (irr-C2-1,irr-C5-55)
