irr-C7-1	1 x (irr-C3-1)
irr-C7-14-q	1 x (irr-C3-14b-q)
irr-C7-90	1 x (irr-C3-90)
irr-C7-105	1 x (irr-C3-21) + 1 x (irr-C3-84)
