irr-C7-1	1 x (irr-A1-1,irr-B3-1)
irr-C7-14-q	1 x (irr-A1-2-q,irr-B3-7)
irr-C7-90	1 x (irr-A1-3,irr-B3-21) + 1 x (irr-A1-1,irr-B3-27)
irr-C7-105	1 x (irr-A1-3,irr-B3-1) + 1 x (irr-A1-3,irr-B3-27) + 1 x (irr-A1-1,irr-B3-21)
