irr-A14-1	1 x (irr-A2-1)
irr-A14-15	1 x (irr-A2-15a)
irr-A14-105	1 x (irr-A2-3) + 1 x (irr-A2-15a) + 1 x (irr-A2-21) + 1 x (irr-A2-24) + 1 x (irr-A2-42)
irr-A14-120	1 x (irr-A2-6) + 1 x (irr-A2-15a) + 1 x (irr-A2-15b) + 1 x (irr-A2-24) + 1 x (irr-A2-60)
irr-A14-224	2 x (irr-A2-8) + 2 x (irr-A2-10) + 2 x (irr-A2-27) + 2 x (irr-A2-35) + 1 x (irr-A2-64)
