irr-A14-1	1 x (irr-B7-1)
irr-A14-15	1 x (irr-B7-15)
irr-A14-105	1 x (irr-B7-105)
irr-A14-120	1 x (irr-B7-1) + 1 x (irr-B7-119)
irr-A14-224	1 x (irr-B7-105) + 1 x (irr-B7-119)
