irr-C6-1	1 x (irr-A1-1)
irr-C6-12-q	1 x (irr-A1-12-q)
irr-C6-65	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13) + 1 x (irr-A1-17) + 1 x (irr-A1-21)
irr-C6-78	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-19) + 1 x (irr-A1-23)
irr-C6-208-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-8-q) + 2 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-14-q) + 2 x (irr-A1-16-q) + 1 x (irr-A1-18-q) + 1 x (irr-A1-20-q) + 1 x (irr-A1-22-q) + 1 x (irr-A1-24-q) + 1 x (irr-A1-28-q)
