irr-C6-1	1 x (irr-A1-1,irr-A3-1)
irr-C6-12-q	1 x (irr-A1-2-q,irr-A3-6)
irr-C6-65	1 x (irr-A1-3,irr-A3-15) + 1 x (irr-A1-1,irr-A3-20b)
irr-C6-78	1 x (irr-A1-3,irr-A3-1) + 1 x (irr-A1-1,irr-A3-15) + 1 x (irr-A1-3,irr-A3-20b)
irr-C6-208-q	2 x (irr-A1-4-q,irr-A3-10) + 1 x (irr-A1-2-q,irr-A3-64)
