irr-C6-1	1 x (irr-A1-1,irr-C2-1)
irr-C6-12-q	1 x (irr-A1-3,irr-C2-4-q)
irr-C6-65	1 x (irr-A1-1,irr-C2-5) + 1 x (irr-A1-5,irr-C2-1) + 1 x (irr-A1-5,irr-C2-5) + 1 x (irr-A1-3,irr-C2-10)
irr-C6-78	1 x (irr-A1-3,irr-C2-1) + 1 x (irr-A1-3,irr-C2-5) + 1 x (irr-A1-1,irr-C2-10) + 1 x (irr-A1-5,irr-C2-10)
irr-C6-208-q	1 x (irr-A1-3,irr-C2-4-q) + 1 x (irr-A1-5,irr-C2-4-q) + 1 x (irr-A1-7,irr-C2-4-q) + 1 x (irr-A1-3,irr-C2-16-q) + 1 x (irr-A1-1,irr-C2-20-q) + 1 x (irr-A1-5,irr-C2-16-q)
