irr-C6-1	1 x (irr-A1-1,irr-C5-1)
irr-C6-12-q	1 x (irr-A1-2-q,irr-C5-1) + 1 x (irr-A1-1,irr-C5-10-q)
irr-C6-65	1 x (irr-A1-1,irr-C5-1) + 1 x (irr-A1-2-q,irr-C5-10-q) + 1 x (irr-A1-1,irr-C5-44)
irr-C6-78	1 x (irr-A1-3,irr-C5-1) + 1 x (irr-A1-2-q,irr-C5-10-q) + 1 x (irr-A1-1,irr-C5-55)
irr-C6-208-q	1 x (irr-A1-1,irr-C5-10-q) + 1 x (irr-A1-2-q,irr-C5-44) + 1 x (irr-A1-1,irr-C5-110-q)
