irr-C6-1	1 x (irr-A5-1)
irr-C6-12-q	2 x (irr-A5-6)
irr-C6-65	2 x (irr-A5-15) + 1 x (irr-A5-35)
irr-C6-78	1 x (irr-A5-1) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
irr-C6-208-q	2 x (irr-A5-20-q) + 2 x (irr-A5-84)
