irr-A3-1	1 x (irr-A2-1)
irr-A3-4	1 x (irr-A2-1) + 1 x (irr-A2-3)
irr-A3-6	2 x (irr-A2-3)
irr-A3-10	1 x (irr-A2-1) + 1 x (irr-A2-3) + 1 x (irr-A2-6)
irr-A3-15	1 x (irr-A2-1) + 2 x (irr-A2-3) + 1 x (irr-A2-8)
irr-A3-20a	2 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-8)
irr-A3-20b	2 x (irr-A2-6) + 1 x (irr-A2-8)
irr-A3-20c	1 x (irr-A2-1) + 1 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-10)
irr-A3-35	1 x (irr-A2-1) + 1 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-10) + 1 x (irr-A2-15b)
irr-A3-36	1 x (irr-A2-1) + 2 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-8) + 1 x (irr-A2-15a)
irr-A3-45	2 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-8) + 1 x (irr-A2-10) + 1 x (irr-A2-15a)
irr-A3-50	2 x (irr-A2-10) + 2 x (irr-A2-15a)
irr-A3-60	2 x (irr-A2-6) + 1 x (irr-A2-8) + 1 x (irr-A2-10) + 2 x (irr-A2-15a)
irr-A3-64	2 x (irr-A2-3) + 2 x (irr-A2-6) + 2 x (irr-A2-8) + 2 x (irr-A2-15a)
irr-A3-70	1 x (irr-A2-1) + 2 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-8) + 1 x (irr-A2-10) + 1 x (irr-A2-15a) + 1 x (irr-A2-24)
irr-A3-84a	1 x (irr-A2-1) + 2 x (irr-A2-3) + 2 x (irr-A2-6) + 1 x (irr-A2-8) + 1 x (irr-A2-15a) + 1 x (irr-A2-15b) + 1 x (irr-A2-27)
irr-A3-84b	2 x (irr-A2-3) + 1 x (irr-A2-6) + 1 x (irr-A2-8) + 1 x (irr-A2-10) + 1 x (irr-A2-15a) + 1 x (irr-A2-15b) + 1 x (irr-A2-24)
