irr-A3-1	1 x (irr-C2-1)
irr-A3-4	1 x (irr-C2-4-q)
irr-A3-6	1 x (irr-C2-1) + 1 x (irr-C2-5)
irr-A3-10	1 x (irr-C2-10)
irr-A3-15	1 x (irr-C2-5) + 1 x (irr-C2-10)
irr-A3-20a	1 x (irr-C2-4-q) + 1 x (irr-C2-16-q)
irr-A3-20b	1 x (irr-C2-1) + 1 x (irr-C2-5) + 1 x (irr-C2-14)
irr-A3-20c	1 x (irr-C2-20-q)
irr-A3-35	1 x (irr-C2-35b)
irr-A3-36	1 x (irr-C2-16-q) + 1 x (irr-C2-20-q)
irr-A3-45	1 x (irr-C2-10) + 1 x (irr-C2-35a)
irr-A3-50	1 x (irr-C2-1) + 1 x (irr-C2-5) + 1 x (irr-C2-14) + 1 x (irr-C2-30)
irr-A3-60	1 x (irr-C2-4-q) + 1 x (irr-C2-16-q) + 1 x (irr-C2-40-q)
irr-A3-64	1 x (irr-C2-5) + 1 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-35a)
irr-A3-70	1 x (irr-C2-35a) + 1 x (irr-C2-35b)
irr-A3-84a	1 x (irr-C2-14) + 1 x (irr-C2-35a) + 1 x (irr-C2-35b)
irr-A3-84b	1 x (irr-C2-20-q) + 1 x (irr-C2-64-q)
irr-A3-140a	1 x (irr-C2-16-q) + 1 x (irr-C2-20-q) + 1 x (irr-C2-40-q) + 1 x (irr-C2-64-q)
