irr-A16-1	1 x (irr-B8-1)
irr-A16-17	1 x (irr-B8-17)
irr-A16-136	1 x (irr-B8-136)
irr-A16-153	1 x (irr-B8-1) + 1 x (irr-B8-152)
irr-A16-288	1 x (irr-B8-136) + 1 x (irr-B8-152)
