irr-C4-1	1 x (irr-A1-1)
irr-C4-8-q	1 x (irr-A1-8-q)
irr-C4-27	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13)
irr-C4-36	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15)
irr-C4-42	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-17)
irr-C4-48-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-16-q)
irr-C4-160-q	1 x (irr-A1-2-q) + 1 x (irr-A1-4-q) + 2 x (irr-A1-6-q) + 2 x (irr-A1-8-q) + 2 x (irr-A1-10-q) + 2 x (irr-A1-12-q) + 2 x (irr-A1-14-q) + 1 x (irr-A1-16-q) + 1 x (irr-A1-18-q) + 1 x (irr-A1-20-q)
irr-C4-308	2 x (irr-A1-1) + 3 x (irr-A1-5) + 2 x (irr-A1-7) + 4 x (irr-A1-9) + 2 x (irr-A1-11) + 4 x (irr-A1-13) + 2 x (irr-A1-15) + 3 x (irr-A1-17) + 1 x (irr-A1-19) + 2 x (irr-A1-21) + 1 x (irr-A1-25)
