irr-C4-1	1 x (irr-A3-1)
irr-C4-8-q	2 x (irr-A3-4)
irr-C4-27	2 x (irr-A3-6) + 1 x (irr-A3-15)
irr-C4-36	1 x (irr-A3-1) + 2 x (irr-A3-10) + 1 x (irr-A3-15)
irr-C4-42	2 x (irr-A3-1) + 2 x (irr-A3-10) + 1 x (irr-A3-20b)
irr-C4-48-q	2 x (irr-A3-4) + 2 x (irr-A3-20a)
irr-C4-160-q	2 x (irr-A3-4) + 4 x (irr-A3-20a) + 2 x (irr-A3-36)
irr-C4-308	1 x (irr-A3-1) + 2 x (irr-A3-10) + 1 x (irr-A3-15) + 3 x (irr-A3-20b) + 2 x (irr-A3-64) + 1 x (irr-A3-84a)
