irr-D10-1	1 x (irr-A3-1)
irr-D10-20	1 x (irr-A3-20b)
irr-D10-190	1 x (irr-A3-15) + 1 x (irr-A3-175)
irr-D10-209	1 x (irr-A3-20b) + 1 x (irr-A3-84a) + 1 x (irr-A3-105)
