irr-D10-1	1 x (irr-B3-1,irr-B6-1)
irr-D10-20	1 x (irr-B3-7,irr-B6-1) + 1 x (irr-B3-1,irr-B6-13)
irr-D10-190	1 x (irr-B3-7,irr-B6-13) + 1 x (irr-B3-21,irr-B6-1) + 1 x (irr-B3-1,irr-B6-78)
irr-D10-209	1 x (irr-B3-1,irr-B6-1) + 1 x (irr-B3-7,irr-B6-13) + 1 x (irr-B3-27,irr-B6-1) + 1 x (irr-B3-1,irr-B6-90)
