irr-D10-1	1 x (irr-B4-1,irr-B5-1)
irr-D10-20	1 x (irr-B4-9,irr-B5-1) + 1 x (irr-B4-1,irr-B5-11)
irr-D10-190	1 x (irr-B4-9,irr-B5-11) + 1 x (irr-B4-36,irr-B5-1) + 1 x (irr-B4-1,irr-B5-55)
irr-D10-209	1 x (irr-B4-1,irr-B5-1) + 1 x (irr-B4-9,irr-B5-11) + 1 x (irr-B4-44,irr-B5-1) + 1 x (irr-B4-1,irr-B5-65)
