irr-D10-1	1 x (irr-A1-1,irr-A1-1,irr-D8-1)
irr-D10-20	1 x (irr-A1-2-q,irr-A1-2-q,irr-D8-1) + 1 x (irr-A1-1,irr-A1-1,irr-D8-16)
irr-D10-190	1 x (irr-A1-3,irr-A1-1,irr-D8-1) + 1 x (irr-A1-1,irr-A1-3,irr-D8-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D8-16) + 1 x (irr-A1-1,irr-A1-1,irr-D8-120)
irr-D10-209	1 x (irr-A1-1,irr-A1-1,irr-D8-1) + 1 x (irr-A1-3,irr-A1-3,irr-D8-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D8-16) + 1 x (irr-A1-1,irr-A1-1,irr-D8-135)
