irr-D10-1	1 x (irr-A1-1,irr-B8-1)
irr-D10-20	1 x (irr-A1-3,irr-B8-1) + 1 x (irr-A1-1,irr-B8-17)
irr-D10-190	1 x (irr-A1-3,irr-B8-1) + 1 x (irr-A1-3,irr-B8-17) + 1 x (irr-A1-1,irr-B8-136)
irr-D10-209	1 x (irr-A1-1,irr-B8-1) + 1 x (irr-A1-5,irr-B8-1) + 1 x (irr-A1-3,irr-B8-17) + 1 x (irr-A1-1,irr-B8-152)
