irr-D10-1	1 x (irr-D9-1)
irr-D10-20	2 x (irr-D9-1) + 1 x (irr-D9-18)
irr-D10-190	1 x (irr-D9-1) + 2 x (irr-D9-18) + 1 x (irr-D9-153)
irr-D10-209	3 x (irr-D9-1) + 2 x (irr-D9-18) + 1 x (irr-D9-170)
