irr-D10-1	1 x (irr-A9-1)
irr-D10-20	2 x (irr-A9-10)
irr-D10-190	1 x (irr-A9-1) + 2 x (irr-A9-45) + 1 x (irr-A9-99)
irr-D10-209	2 x (irr-A9-55) + 1 x (irr-A9-99)
