irr-D10-1	1 x (irr-D4-1,irr-D6-1)
irr-D10-20	1 x (irr-D4-8a,irr-D6-1) + 1 x (irr-D4-1,irr-D6-12)
irr-D10-190	1 x (irr-D4-8a,irr-D6-12) + 1 x (irr-D4-28,irr-D6-1) + 1 x (irr-D4-1,irr-D6-66)
irr-D10-209	1 x (irr-D4-1,irr-D6-1) + 1 x (irr-D4-8a,irr-D6-12) + 1 x (irr-D4-35a,irr-D6-1) + 1 x (irr-D4-1,irr-D6-77)
