irr-D10-1	1 x (irr-B9-1)
irr-D10-20	1 x (irr-B9-1) + 1 x (irr-B9-19)
irr-D10-190	1 x (irr-B9-19) + 1 x (irr-B9-171)
irr-D10-209	1 x (irr-B9-1) + 1 x (irr-B9-19) + 1 x (irr-B9-189)
