irr-D10-1	1 x (irr-A1-1,irr-C5-1)
irr-D10-20	1 x (irr-A1-2-q,irr-C5-10-q)
irr-D10-190	1 x (irr-A1-3,irr-C5-1) + 1 x (irr-A1-3,irr-C5-44) + 1 x (irr-A1-1,irr-C5-55)
irr-D10-209	1 x (irr-A1-1,irr-C5-44) + 1 x (irr-A1-3,irr-C5-55)
