irr-D10-1	1 x (irr-A3-1,irr-D7-1)
irr-D10-20	1 x (irr-A3-6,irr-D7-1) + 1 x (irr-A3-1,irr-D7-14)
irr-D10-190	1 x (irr-A3-6,irr-D7-14) + 1 x (irr-A3-15,irr-D7-1) + 1 x (irr-A3-1,irr-D7-91)
irr-D10-209	1 x (irr-A3-1,irr-D7-1) + 1 x (irr-A3-6,irr-D7-14) + 1 x (irr-A3-20b,irr-D7-1) + 1 x (irr-A3-1,irr-D7-104)
