irr-D10-1	1 x (irr-C2-1,irr-B7-1)
irr-D10-20	1 x (irr-C2-5,irr-B7-1) + 1 x (irr-C2-1,irr-B7-15)
irr-D10-190	1 x (irr-C2-10,irr-B7-1) + 1 x (irr-C2-5,irr-B7-15) + 1 x (irr-C2-1,irr-B7-105)
irr-D10-209	1 x (irr-C2-1,irr-B7-1) + 1 x (irr-C2-14,irr-B7-1) + 1 x (irr-C2-5,irr-B7-15) + 1 x (irr-C2-1,irr-B7-119)
