irr-C19-1	1 x (irr-A18-1)
irr-C19-38-q	2 x (irr-A18-19)
irr-C19-702	2 x (irr-A18-171) + 1 x (irr-A18-360)
irr-C19-741	1 x (irr-A18-1) + 2 x (irr-A18-190) + 1 x (irr-A18-360)
