irr-C19-1	1 x (irr-A1-1,irr-C18-1)
irr-C19-38-q	1 x (irr-A1-2-q,irr-C18-1) + 1 x (irr-A1-1,irr-C18-36-q)
irr-C19-702	1 x (irr-A1-1,irr-C18-1) + 1 x (irr-A1-2-q,irr-C18-36-q) + 1 x (irr-A1-1,irr-C18-629)
irr-C19-741	1 x (irr-A1-3,irr-C18-1) + 1 x (irr-A1-2-q,irr-C18-36-q) + 1 x (irr-A1-1,irr-C18-666)
