irr-C19-1	1 x (irr-C2-1,irr-C17-1)
irr-C19-38-q	1 x (irr-C2-4-q,irr-C17-1) + 1 x (irr-C2-1,irr-C17-34-q)
irr-C19-702	1 x (irr-C2-1,irr-C17-1) + 1 x (irr-C2-5,irr-C17-1) + 1 x (irr-C2-4-q,irr-C17-34-q) + 1 x (irr-C2-1,irr-C17-560)
irr-C19-741	1 x (irr-C2-10,irr-C17-1) + 1 x (irr-C2-4-q,irr-C17-34-q) + 1 x (irr-C2-1,irr-C17-595)
