irr-C19-1	1 x (irr-C8-1,irr-C11-1)
irr-C19-38-q	1 x (irr-C8-16-q,irr-C11-1) + 1 x (irr-C8-1,irr-C11-22-q)
irr-C19-702	1 x (irr-C8-1,irr-C11-1) + 1 x (irr-C8-119,irr-C11-1) + 1 x (irr-C8-16-q,irr-C11-22-q) + 1 x (irr-C8-1,irr-C11-230)
irr-C19-741	1 x (irr-C8-136,irr-C11-1) + 1 x (irr-C8-16-q,irr-C11-22-q) + 1 x (irr-C8-1,irr-C11-253)
