irr-C19-1	1 x (irr-C4-1,irr-C15-1)
irr-C19-38-q	1 x (irr-C4-8-q,irr-C15-1) + 1 x (irr-C4-1,irr-C15-30-q)
irr-C19-702	1 x (irr-C4-1,irr-C15-1) + 1 x (irr-C4-27,irr-C15-1) + 1 x (irr-C4-8-q,irr-C15-30-q) + 1 x (irr-C4-1,irr-C15-434)
irr-C19-741	1 x (irr-C4-36,irr-C15-1) + 1 x (irr-C4-8-q,irr-C15-30-q) + 1 x (irr-C4-1,irr-C15-465)
