mdl-(0,0,5)-256-620D7853EF968387	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-115-1-3, vtx-A05-120-1-3)	Δ = 256	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 2 x (irr-C3-14a)	(5) : 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-C3-6-q)	(1,5) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-C3-6-q)	(2,5) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-C3-6-q)	(3,5) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-C3-6-q, irr-A5-6)
mdl-(0,0,5)-256-DDF8180C062FDF88	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-A05-118-1-3)	Δ = 256	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(5) : 3 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-C3-6-q)	(1,5) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-C3-6-q)	(2,5) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-C3-6-q)	(3,5) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-C3-6-q, irr-A5-6)
mdl-(0,0,5)-256-95D65F70897DD21E	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-A04-101-1-3, vtx-C03-117-1-3)	Δ = 256	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A4-10)	(4) : 3 x (irr-A4-10)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A4-5)	(1,4) : 1 x (irr-A3-4, irr-A4-5)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A4-5)	(2,4) : 1 x (irr-A3-4, irr-A4-5)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A4-5, irr-A4-5)	(3,5) : 1 x (irr-A4-5, irr-C3-6-q)	(4,5) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(0,0,5)-257-8E86FE5AFF5C0E43	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 3 x (irr-A4-5) + 3 x (irr-A4-10)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A4-5)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A4-5)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A4-5)	(4,5) : 1 x (irr-A3-4, irr-A4-5)
mdl-(0,0,5)-257-2A27A73664E55F7C	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(0,0,5)-257-F40EDDAAA8A58C6A	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A07-149-1-3)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 3 x (irr-A7-28)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A7-8)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A7-8)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A7-8)	(4,5) : 1 x (irr-A3-4, irr-A7-8)
mdl-(0,0,5)-257-FAAB9CCDB5DD40F5	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-149-4-6)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[2]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 6 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 2 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(4,5) : 2 x (irr-A3-4, irr-A3-4)
mdl-(0,0,5)-257-A9C2F197B61B6696	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-C03-117-1-3)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 1 x (irr-A4-5) + 3 x (irr-A4-10)	(5) : 2.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-A4-5)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A4-5)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A4-5)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(0,0,5)-257-A4EF7026A567D1EE	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-A06-134-1-3)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A4-10)	(5) : 3 x (irr-A6-21)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-A4-5)	(1,5) : 1 x (irr-A3-4, irr-A6-7)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A4-5)	(2,5) : 1 x (irr-A3-4, irr-A6-7)	(3,4) : 1 x (irr-A3-4, irr-A4-5)	(3,5) : 1 x (irr-A3-4, irr-A6-7)	(4,5) : 1 x (irr-A4-5, irr-A6-7)
mdl-(0,0,5)-257-8D636E133630DC8E	vertices = (vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-115-1-3, vtx-C03-115-1-3)	Δ = 257	bI-odd = ([[3],[1],[1],[1],[1],[1]])	bI-even = ()	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 6 x (irr-A3-4)	(4) : 2 x (irr-C3-14a)	(5) : 1 x (irr-C3-6-q) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)	(1,4) : 1 x (irr-A3-4, irr-C3-6-q)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-C3-6-q)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-C3-6-q)	(3,5) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-C3-6-q, irr-C3-6-q)
