irr-B16-1	1 x (irr-A3-1,irr-B13-1)
irr-B16-33	1 x (irr-A3-6,irr-B13-1) + 1 x (irr-A3-1,irr-B13-27)
irr-B16-528	1 x (irr-A3-15,irr-B13-1) + 1 x (irr-A3-6,irr-B13-27) + 1 x (irr-A3-1,irr-B13-351)
irr-B16-560	1 x (irr-A3-1,irr-B13-1) + 1 x (irr-A3-6,irr-B13-27) + 1 x (irr-A3-20b,irr-B13-1) + 1 x (irr-A3-1,irr-B13-377)
