irr-B16-1	1 x (irr-B12-1,irr-D4-1)
irr-B16-33	1 x (irr-B12-25,irr-D4-1) + 1 x (irr-B12-1,irr-D4-8a)
irr-B16-528	1 x (irr-B12-300,irr-D4-1) + 1 x (irr-B12-25,irr-D4-8a) + 1 x (irr-B12-1,irr-D4-28)
irr-B16-560	1 x (irr-B12-1,irr-D4-1) + 1 x (irr-B12-25,irr-D4-8a) + 1 x (irr-B12-324,irr-D4-1) + 1 x (irr-B12-1,irr-D4-35a)
