irr-B16-1	1 x (irr-A1-1,irr-A1-1,irr-B14-1)
irr-B16-33	1 x (irr-A1-2-q,irr-A1-2-q,irr-B14-1) + 1 x (irr-A1-1,irr-A1-1,irr-B14-29)
irr-B16-528	1 x (irr-A1-3,irr-A1-1,irr-B14-1) + 1 x (irr-A1-1,irr-A1-3,irr-B14-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B14-29) + 1 x (irr-A1-1,irr-A1-1,irr-B14-406)
irr-B16-560	1 x (irr-A1-1,irr-A1-1,irr-B14-1) + 1 x (irr-A1-3,irr-A1-3,irr-B14-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B14-29) + 1 x (irr-A1-1,irr-A1-1,irr-B14-434)
