irr-B16-1	1 x (irr-C2-1,irr-D14-1)
irr-B16-33	1 x (irr-C2-5,irr-D14-1) + 1 x (irr-C2-1,irr-D14-28)
irr-B16-528	1 x (irr-C2-10,irr-D14-1) + 1 x (irr-C2-5,irr-D14-28) + 1 x (irr-C2-1,irr-D14-378)
irr-B16-560	1 x (irr-C2-1,irr-D14-1) + 1 x (irr-C2-14,irr-D14-1) + 1 x (irr-C2-5,irr-D14-28) + 1 x (irr-C2-1,irr-D14-405)
