irr-B16-1	1 x (irr-B7-1,irr-D9-1)
irr-B16-33	1 x (irr-B7-15,irr-D9-1) + 1 x (irr-B7-1,irr-D9-18)
irr-B16-528	1 x (irr-B7-105,irr-D9-1) + 1 x (irr-B7-15,irr-D9-18) + 1 x (irr-B7-1,irr-D9-153)
irr-B16-560	1 x (irr-B7-1,irr-D9-1) + 1 x (irr-B7-15,irr-D9-18) + 1 x (irr-B7-119,irr-D9-1) + 1 x (irr-B7-1,irr-D9-170)
